Entity 1 | Entity 2 | Result | Score 
dmp|repository mention|False|0.40317824482917786
how secure|detail|False|0.5900576710700989
conservation period|dmp|False|0.37379124760627747
who be responsible|metadata|False|0.4169141352176666
security requirement|who be responsible|False|0.4151622951030731
software|cost|False|0.5220683813095093
reference|research publication|False|0.566831111907959
cost|format|True|0.7675687670707703
all datum|repository mention|False|0.26591217517852783
kind of datum I want to record|repository mention|False|0.64883953332901
how secure|report|False|0.41264498233795166
format|regular summary report|False|0.2957734763622284
software|datum set|False|0.4474729299545288
information|information|False|0.0
dmp|technology|False|0.5258609056472778
intention|how secure|True|0.8473086357116699
short description|information|True|0.8720961213111877
format|necessary right|True|0.9138568043708801
agreement|detail|True|0.9018890857696533
security requirement|my datum|False|0.33088889718055725
reference|who|True|0.7783847451210022
how long|cost|False|0.32849863171577454
administrative information|datum|False|0.4808562099933624
detail|repository mention|True|0.8582269549369812
all datum|technology|False|0.37045228481292725
kind of datum|persistent identifier|False|0.6069386601448059
anonymization of datum|how many|False|0.3820531964302063
cost|administrative information|False|0.5194262266159058
regular summary report|report|False|0.24759438633918762
agreement|report|True|0.7125948667526245
persistent identifier|plan provenance|False|0.635729968547821
content|compliance|False|0.5041232109069824
kind of datum type|datum set|False|0.6796258687973022
datum|how|False|0.6700252890586853
detail|technology|True|0.9051074981689453
compliance|technology|True|0.7239172458648682
legal statu|anonymization of datum|False|0.16654109954833984
metadata|creation proces|False|0.619604766368866
legal statu|dmp|False|0.4675384759902954
section|who be responsible|False|0.6181171536445618
administrative information|creation proces|True|0.7029884457588196
kind of datum|how many|True|0.7862652540206909
section|how secure|True|0.7451854348182678
repository mention|how long|False|0.3622957468032837
it resource requirement|time plan|False|0.3135263919830322
how|research publication|False|0.41946282982826233
my datum|how many|False|0.4992474317550659
content|who be responsible|False|0.4213937819004059
section|my datum|False|0.6769698262214661
section|privacy|False|0.229704812169075
software|compliance|False|0.4844795763492584
how secure|section|False|0.43117982149124146
how many|all right|False|0.42223459482192993
plan provenance|section|False|0.682373046875
how|who|False|0.3836745023727417
persistent identifier|information|True|0.7452609539031982
it resource requirement|kind of datum type|False|0.5334148406982422
content|privacy|False|0.29864683747291565
content|my datum|False|0.487291157245636
reference|format|True|0.9341191649436951
all right|datum sensitivity|False|0.47895216941833496
metadata|repository mention|False|0.5061967372894287
regular summary report|section|False|0.24542592465877533
agreement|section|True|0.7385605573654175
kind of datum type|compliance|True|0.7071552872657776
pointer|metadata|True|0.8877108097076416
estimate|reference|False|0.5903024673461914
cost|cost|False|0.0
software|who be responsible|False|0.4713052213191986
research publication|how long|False|0.25501298904418945
metadata|technology|False|0.5573112964630127
creation proces|security requirement|False|0.45910727977752686
creation proces|topic|False|0.4975464344024658
all resource|short description|False|0.31162649393081665
administrative information|technology|False|0.5909258127212524
report|detail|False|0.6172500848770142
estimate|administrative information|False|0.34115514159202576
intention|kind of datum I want to record|True|0.7853718400001526
time plan|plan provenance|False|0.47219014167785645
compliance|persistent identifier|False|0.4804057776927948
software|privacy|False|0.2667563855648041
how long|who be responsible|False|0.3406732976436615
dmp|how many|False|0.48558881878852844
software|my datum|False|0.5026755332946777
creation proces|kind of datum I want to store|False|0.5356015563011169
how long|how secure|False|0.3147370517253876
datum sensitivity|how|False|0.6867313981056213
datum sensitivity|legal statu|False|0.4750728905200958
all datum|how many|False|0.35997772216796875
how long|privacy|False|0.1491103321313858
how long|my datum|False|0.2602250874042511
kind of datum|security requirement|False|0.5996005535125732
datum set|repository mention|False|0.38887274265289307
kind of datum|topic|True|0.8264003396034241
how|format|True|0.9264259338378906
my datum|security requirement|False|0.4379769563674927
my datum|topic|False|0.5094180703163147
short description|how|True|0.7767473459243774
detail|how many|True|0.9387853145599365
intention|agreement|True|0.862014651298523
compliance|how many|True|0.7619501352310181
repository mention|time plan|False|0.34114858508110046
kind of datum|kind of datum I want to store|False|0.6215911507606506
anonymization of datum|conservation period|False|0.20519769191741943
section|kind of datum I want to record|False|0.6727322936058044
all resource|how secure|False|0.29991164803504944
my datum|kind of datum I want to store|False|0.624666690826416
content|kind of datum I want to record|False|0.5956369042396545
necessary right|detail|True|0.7848901152610779
