Entity 1|Entity 2|Hints from Wordnet
affidavit|affidavit|False
affidavit|appeal|False
affidavit|application|False
affidavit|approve proffer|False
affidavit|bond|False
affidavit|building development project|False
affidavit|citation|False
affidavit|code modification|False
affidavit|completeness review|False
affidavit|completion of require plan review|False
affidavit|consistency|False
affidavit|custom query / report|False
affidavit|customer portal user account|False
affidavit|development - relate permit|False
affidavit|draft proffer|False
affidavit|each condo unit|False
affidavit|fee|False
affidavit|fine|False
affidavit|formal response|False
affidavit|gis property management|False
affidavit|hearing calendar|False
affidavit|hearing date|False
affidavit|hearing decision|False
affidavit|hearing execution|False
affidavit|hearing requirement|False
affidavit|hold|False
affidavit|information|False
affidavit|inspection|False
affidavit|inspector workload|False
affidavit|internal note|False
affidavit|meet|False
affidavit|notice of violation|False
affidavit|ordinance|False
affidavit|outcome|False
affidavit|plan|False
affidavit|plan amendment|False
affidavit|plan review meeting|False
affidavit|plan reviewer workload|False
affidavit|planning - relate report|False
affidavit|planning study|False
affidavit|preapplication assistance|False
affidavit|property information|False
affidavit|request|False
affidavit|requirement|False
affidavit|service|False
affidavit|staff report|False
affidavit|staff review|False
affidavit|status|False
affidavit|support documentation|False
affidavit|when|False
affidavit|zoning - relate permit|False
appeal|affidavit|False
appeal|appeal|False
appeal|application|False
appeal|approve proffer|False
appeal|bond|False
appeal|building development project|False
appeal|citation|False
appeal|code modification|False
appeal|completeness review|False
appeal|completion of require plan review|False
appeal|consistency|False
appeal|custom query / report|False
appeal|customer portal user account|False
appeal|development - relate permit|False
appeal|draft proffer|False
appeal|each condo unit|False
appeal|fee|False
appeal|fine|False
appeal|formal response|False
appeal|gis property management|False
appeal|hearing calendar|False
appeal|hearing date|False
appeal|hearing decision|False
appeal|hearing execution|False
appeal|hearing requirement|False
appeal|hold|False
appeal|information|False
appeal|inspection|False
appeal|inspector workload|False
appeal|internal note|False
appeal|meet|False
appeal|notice of violation|False
appeal|ordinance|False
appeal|outcome|False
appeal|plan|False
appeal|plan amendment|False
appeal|plan review meeting|False
appeal|plan reviewer workload|False
appeal|planning - relate report|False
appeal|planning study|False
appeal|preapplication assistance|False
appeal|property information|False
appeal|request|False
appeal|requirement|False
appeal|service|False
appeal|staff report|False
appeal|staff review|False
appeal|status|False
appeal|support documentation|False
appeal|when|False
appeal|zoning - relate permit|False
application|affidavit|False
application|appeal|False
application|application|False
application|approve proffer|False
application|bond|False
application|building development project|False
application|citation|False
application|code modification|False
application|completeness review|False
application|completion of require plan review|False
application|consistency|False
application|custom query / report|False
application|customer portal user account|False
application|development - relate permit|False
application|draft proffer|False
application|each condo unit|False
application|fee|False
application|fine|False
application|formal response|False
application|gis property management|False
application|hearing calendar|False
application|hearing date|False
application|hearing decision|False
application|hearing execution|False
application|hearing requirement|False
application|hold|False
application|information|False
application|inspection|False
application|inspector workload|False
application|internal note|False
application|meet|False
application|notice of violation|False
application|ordinance|False
