story|action|classified_action|similarity
As a user, I want to sign up for a new account so that I can access the platform.|sign up|create|1.0
As a project manager, I want to establish a new project so that work can begin.|establish|create|1.0
As an administrator, I want to provision a new user profile so that the employee can log in.|provision|create|1.0
As a customer, I want to file a support ticket so that my issue can be tracked.|file|read|1.0
As a user, I want to generate a report so that I can analyze my data.|generate|create|1.0
As a editor, I want to compose a new article so that it can be published.|compose|create|1.0
As a developer, I want to instantiate a new service so that the system can scale.|instantiate|create|1.0
As a team leader, I want to form a new group so that members can collaborate.|form|create|1.0
As a user, I want to register a account so that I can use the application.|register|create|1.0
As a customer, I want to place a order so that I can purchase a product.|place|create|1.0
As a administrator, I want to issue a new access token so that the integration can authenticate.|issue|create|1.0
As a user, I want to add a new address so that I can receive deliveries.|add|create|1.0
As a moderator, I want to originate a new discussion thread so that users can talk about a topic.|originate|create|1.0
As a teacher, I want to set up a new course so that students can enroll.|set up|create|1.0
As a user, I want to upload a file so that it is stored in the system.|upload|create|1.0
As a developer, I want to spawn a new instance so that the workload is distributed.|spawn|create|1.0
As a manager, I want to launch a new campaign so that customers are informed.|launch|create|1.0
As a user, I want to submit a form so that my request is recorded.|submit|create|1.0
As a system, I want to produce a daily summary so that users stay informed.|produce|create|1.0
As a administrator, I want to allocate a new workspace so that a team can collaborate.|allocate|create|1.0
As a user, I want to book a calendar event so that I remember my appointment.|book|create|1.0
As a designer, I want to craft a new template so that others can reuse it.|craft|create|1.0
As a developer, I want to initialize a database so that the application can store data.|initialize|create|1.0
As a user, I want to post a message so that others can see it.|post|create|1.0
As a administrator, I want to enroll a new user so that they gain system access.|enroll|create|1.0
As a user, I want to record a new expense so that my budget is accurate.|record|create|1.0
As a project manager, I want to schedule a new task so that work is assigned.|schedule|create|1.0
As a user, I want to curate a playlist so that I can organize my music.|curate|create|1.0
As a system, I want to log a new event so that activity is tracked.|log|create|1.0
As a administrator, I want to deploy a new environment so that testing can begin.|deploy|create|1.0
As a user, I want to start a new conversation so that I can contact support.|start|update|1.0
As a developer, I want to construct a new object so that the feature works correctly.|construct|create|1.0
As a user, I want to enter a new contact so that I can reach them later.|enter|create|1.0
As a administrator, I want to assign a new role so that permissions are defined.|assign|update|1.0
As a user, I want to draft a new message so that I can send it later.|draft|create|1.0
As a team leader, I want to organize a new meeting so that we can plan the sprint.|organize|update|1.0
As a user, I want to create a bookmark so that I can return to the page quickly.|create|create|1.0
As a developer, I want to compile a new build so that the software can be released.|compile|create|1.0
As a customer, I want to initiate a return request so that I can send the product back.|initiate|create|1.0
As an administrator, I want to enact a new policy so that rules are enforced.|enact|create|1.0
As a user, I want to peruse my profile so that I can check my personal information.|peruse|read|1.0
As a customer, I want to see my order history so that I can track past purchases.|see|read|1.0
As an administrator, I want to scrutinize system logs so that I can detect issues.|scrutinize|read|1.0
As a project manager, I want to survey the project timeline so that I know the current status.|survey|read|1.0
As a user, I want to glance at my notifications so that I stay informed.|glance at|read|1.0
As a support agent, I want to assess a ticket so that I understand the problem.|assess|read|1.0
As a user, I want to look through messages so that I can stay in touch with others.|look through|read|1.0
As a manager, I want to analyze performance reports so that I can make decisions.|analyze|read|1.0
As a user, I want to check out available products so that I can choose what to buy.|check out|read|1.0
As an administrator, I want to oversee user activities so that I can ensure compliance.|oversee|read|1.0
As a user, I want to access a document so that I can read its content.|access|read|1.0
As a team member, I want to consult the project notes so that I understand the context.|consult|read|1.0
As a user, I want to display my saved items so that I can access them quickly.|display|read|1.0
As a developer, I want to trace application logs so that I can diagnose errors.|trace|read|1.0
As a user, I want to preview an image so that I know if it is the right one.|preview|read|1.0
As a moderator, I want to screen reported posts so that I can take action if needed.|screen|read|1.0
As a user, I want to look up a contact so that I can reach them.|look up|read|1.0
As a administrator, I want to monitor system status so that I can ensure uptime.|monitor|read|1.0
As a customer, I want to track my shipment so that I know when it will arrive.|track|read|1.0
As a user, I want to explore categories so that I can discover new content.|explore|read|1.0
As a manager, I want to evaluate sales data so that I can adjust strategy.|evaluate|read|1.0
As a user, I want to verify my account balance so that I know how much I have.|verify|read|1.0
As a support agent, I want to read through a conversation history so that I understand the issue.|read through|read|1.0
As a user, I want to reference my calendar so that I can see upcoming events.|reference|read|1.0
As an administrator, I want to cross-check configuration settings against the security baseline so that I can confirm compliance.|cross-check|read|1.0
As a user, I want to browse through my photo gallery so that I can find a picture.|browse through|read|1.0
As a developer, I want to observe system metrics so that I can detect anomalies.|observe|read|1.0
As a user, I want to open my saved draft so that I can read it.|open|read|1.0
As a moderator, I want to probe flagged content so that I can better understand potential violations.|probe|read|1.0
As a technician, I want to ascertain the current system status so that I can perform the correct maintenance task.|ascertain|read|1.0
As a administrator, I want to examine access records so that I can verify activity.|examine|read|1.0
As a user, I want to scan my inbox so that I can find important messages.|scan|read|1.0
As a manager, I want to study team performance charts so that I can guide improvements.|study|read|1.0
As a user, I want to look over my recent activity so that I stay aware.|look over|read|1.0
As a developer, I want to inspect API responses so that I can debug issues.|inspect|read|1.0
As a user, I want to review my saved preferences so that I know my settings.|review|read|1.0
