story|action|classified_action|similarity
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations|get|read|0.15066835284233093
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations|get|read|0.17201989889144897
As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs|add|read|0.2565281391143799
As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data|provide|read|0.35313886404037476
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package|save|read|0.28920549154281616
As a ResearcherPublisher, I want to know that my data conforms to its Data Package profile, so that I can feel trust in the validity and usefulness of the data|know|read|0.23623475432395935
As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it|understand|read|0.2669574022293091
As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations|get|read|0.15276645123958588
As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations|get|read|0.18709124624729156
As a Researcher, I want to get a Data Package into SPSS in seconds, so that I can start using the data for doing analysis and visualizations|get|read|0.24068361520767212
As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations|get|read|0.211479052901268
As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages|translate|read|0.30098670721054077
As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds, so that I can start using the data for doing analysis and visualizations|get|read|0.08884016424417496
As a Developer, I want to get a Data Package into Python in seconds, so that I can start using the data for doing analysis and visualizations|get|read|0.21433138847351074
As a Developer, I want a jQuery plugin for Core Data Packages, so that I can use it to apply to form control that uses a core dataset for autocompletion|want|read|0.20591817796230316
As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization|get|read|0.24043899774551392
As a Developer, I want to do exploratory data analysis in R, so that I can use the best tool for the job|do|read|0.167885422706604
As a Developer, I want to operationalize that analysis in Python, so that I can use the best tool for the job|operationalize|read|0.2200561910867691
