Entity 1|Entity 2|Hints from Wordnet
affidavit|affidavit|True
affidavit|application|False
affidavit|bond|False
affidavit|citation|False
affidavit|code modification|False
affidavit|completeness review|False
affidavit|consistency|False
affidavit|fee|False
affidavit|fine|False
affidavit|formal response|False
affidavit|hearing calendar|False
affidavit|hearing decision|False
affidavit|hearing execution|False
affidavit|hold|False
affidavit|inspector workload|False
affidavit|internal note|False
affidavit|meet|False
affidavit|notice of violation|False
affidavit|ordinance|False
affidavit|outcome|False
affidavit|plan review meeting|False
affidavit|planning - relate report|False
affidavit|planning study|False
affidavit|request|False
affidavit|requirement|False
affidavit|service|False
affidavit|staff report|False
affidavit|staff review|False
affidavit|zoning - relate permit|False
appeal|affidavit|False
appeal|appeal|True
appeal|application|False
appeal|approve proffer|False
appeal|bond|False
appeal|citation|False
appeal|code modification|False
appeal|completeness review|False
appeal|consistency|False
appeal|fee|False
appeal|fine|False
appeal|formal response|False
appeal|hearing calendar|False
appeal|hearing decision|False
appeal|hearing execution|False
appeal|hold|False
appeal|inspector workload|False
appeal|internal note|False
appeal|meet|False
appeal|notice of violation|False
appeal|ordinance|False
appeal|outcome|False
appeal|plan review meeting|False
appeal|plan reviewer workload|False
appeal|planning - relate report|False
appeal|planning study|False
appeal|property information|False
appeal|request|False
appeal|requirement|False
appeal|service|False
appeal|staff report|False
appeal|staff review|False
appeal|zoning - relate permit|False
application|application|True
application|bond|False
application|code modification|False
application|consistency|False
application|hearing calendar|False
application|hearing decision|False
application|hold|False
application|meet|False
application|notice of violation|False
application|plan review meeting|False
application|planning - relate report|False
application|planning study|False
application|request|False
application|requirement|False
application|service|False
application|staff report|False
approve proffer|affidavit|False
approve proffer|application|False
approve proffer|approve proffer|True
approve proffer|bond|False
approve proffer|citation|False
approve proffer|code modification|False
approve proffer|completeness review|False
approve proffer|consistency|False
approve proffer|fee|False
approve proffer|fine|False
approve proffer|formal response|False
approve proffer|hearing calendar|False
approve proffer|hearing decision|False
approve proffer|hearing execution|False
approve proffer|hold|False
approve proffer|inspector workload|False
approve proffer|internal note|False
approve proffer|meet|False
approve proffer|notice of violation|False
approve proffer|ordinance|False
approve proffer|outcome|False
approve proffer|plan review meeting|False
approve proffer|plan reviewer workload|False
approve proffer|planning - relate report|False
approve proffer|planning study|False
approve proffer|property information|False
approve proffer|request|False
approve proffer|requirement|False
approve proffer|service|False
approve proffer|staff report|False
approve proffer|staff review|False
approve proffer|zoning - relate permit|False
bond|bond|True
bond|consistency|False
bond|hearing decision|False
bond|requirement|False
building development project|affidavit|False
building development project|appeal|False
building development project|application|False
building development project|approve proffer|False
building development project|bond|False
building development project|building development project|True
building development project|citation|False
building development project|code modification|False
building development project|completeness review|False
building development project|consistency|False
building development project|custom query / report|False
building development project|customer portal user account|False
building development project|draft proffer|False
building development project|fee|False
building development project|fine|False
building development project|formal response|False
building development project|hearing calendar|False
building development project|hearing decision|False
building development project|hearing execution|False
building development project|hearing requirement|False
building development project|hold|False
building development project|inspection|False
building development project|inspector workload|False
building development project|internal note|False
building development project|meet|False
building development project|notice of violation|False
building development project|ordinance|False
building development project|outcome|False
building development project|plan review meeting|False
building development project|plan reviewer workload|False
building development project|planning - relate report|False
building development project|planning study|False
building development project|property information|False
building development project|request|False
building development project|requirement|False
building development project|service|False
building development project|staff report|False
building development project|staff review|False
building development project|when|False
building development project|zoning - relate permit|False
citation|application|False
citation|bond|False
citation|citation|True
citation|code modification|False
citation|completeness review|False
citation|consistency|False
citation|fine|False
citation|hearing calendar|False
citation|hearing decision|False
citation|hold|False
citation|inspector workload|False
citation|internal note|False
citation|meet|False
citation|notice of violation|False
citation|ordinance|False
citation|plan review meeting|False
citation|planning - relate report|False
citation|planning study|False
citation|request|False
citation|requirement|False
citation|service|False
citation|staff report|False
citation|staff review|False
citation|zoning - relate permit|False
code modification|bond|False
code modification|code modification|True
code modification|consistency|False
code modification|hearing decision|False
code modification|requirement|False
completeness review|application|False
completeness review|bond|False
completeness review|code modification|False
completeness review|completeness review|True
completeness review|consistency|False
completeness review|fine|False
completeness review|hearing calendar|False
completeness review|hearing decision|False
completeness review|hold|False
completeness review|inspector workload|False
completeness review|internal note|False
completeness review|meet|False
completeness review|notice of violation|False
completeness review|ordinance|False
completeness review|plan review meeting|False
completeness review|planning - relate report|False
completeness review|planning study|False
completeness review|request|False
completeness review|requirement|False
completeness review|service|False
completeness review|staff report|False
completeness review|staff review|True
completeness review|zoning - relate permit|False
completion of require plan review|affidavit|False
completion of require plan review|appeal|False
completion of require plan review|application|False
completion of require plan review|approve proffer|False
completion of require plan review|bond|False
completion of require plan review|building development project|False
completion of require plan review|citation|False
completion of require plan review|code modification|False
completion of require plan review|completeness review|True
completion of require plan review|completion of require plan review|True
completion of require plan review|consistency|False
completion of require plan review|custom query / report|False
completion of require plan review|customer portal user account|False
completion of require plan review|draft proffer|False
completion of require plan review|fee|False
completion of require plan review|fine|False
completion of require plan review|formal response|False
completion of require plan review|hearing calendar|False
completion of require plan review|hearing decision|False
completion of require plan review|hearing execution|False
completion of require plan review|hearing requirement|False
completion of require plan review|hold|False
completion of require plan review|inspection|True
completion of require plan review|inspector workload|False
completion of require plan review|internal note|False
