story|action|classified_action|similarity
As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.|search|read|1.0
As a ProspectiveApplicant, I want to research requirements, so that I can find the relevant service and/or application type to initiate via the online portal.|research|read|0.18657858669757843
As a ProspectiveApplicant, I want to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.|select|read|1.0
As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance.|request|read|0.2815035879611969
As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.|create|create|1.0
As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.|submit|create|1.0
As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.|submit|create|1.0
As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.|pay|read|0.319861501455307
As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.|check|read|1.0
As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.|modify|update|1.0
As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.|perform|create|0.34022584557533264
As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.|record|delete|0.14686624705791473
As a Staff member, I want to Assign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.|assign|create|0.5242166519165039
As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved.|apply|create|0.46056437492370605
As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.|remove|delete|1.0
As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.|send|create|0.45957064628601074
As a Staff member, I want to Track  the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.|track|read|0.25274980068206787
As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.|manage|create|0.4794648289680481
As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.|manage|create|0.4794648289680481
As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.|schedule|read|0.18014711141586304
As a staff member, I want to denote an application with a Final Action status. So that I can finish it.|denote|create|0.34139594435691833
As a Planning Staff member, I want to Conduct Plan Amendments, so that I can record work in process, outcome, and location-based information related to the Plan(s).|conduct|create|0.2849006950855255
As a Planning Staff member, I want to track Plan Amendments, so that I can record work in process, outcome, and location-based information related to the Plan(s).|track|read|0.25274980068206787
As a Planning Staff member, I want to Conduct Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).|conduct|create|0.2849006950855255
As a Planning Staff member, I want to Track Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).|track|read|0.25274980068206787
As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.|generate|create|1.0
As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.|evaluate|update|0.4912104904651642
As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.|perform|create|0.34022584557533264
As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.|process|read|0.22841963171958923
As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.|issue|update|0.21042998135089874
As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.|develop|create|0.6244860291481018
As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates.|manage|create|0.4794648289680481
As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.|assign|create|0.5242166519165039
As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.|manage|create|0.4794648289680481
As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.|satisfy|create|0.382752388715744
As a Staff member, I want to Prepare for Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.|prepare|create|0.4162595868110657
As a Staff member, I want to Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.|prepare|create|0.4162595868110657
As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.|capture|create|0.42258015275001526
As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.|process|read|0.22841963171958923
As a Plan Review Staff member, I want to Assign Plans for Review, so that I can ensure plans have been assigned to the appropriate Plan Reviewer.|assign|create|0.5242166519165039
As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workload as necessary and ensure service levels are met|manage|create|0.4794648289680481
As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.|request|read|0.2815035879611969
As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant, so that I can listen to it again.|successfully conduct|create|0.3091455101966858
As a Plan Review Staff member, I want to record the outcome, so that I can listen to it again.|record|delete|0.14686624705791473
As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.|review|update|0.4033868610858917
As an Applicant, I want to Resubmit Plans, so that I can review revised plans.|resubmit|update|0.4773934781551361
As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved, associate it with the appropriate project.|review|update|0.4033868610858917
As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance.|track|read|0.25274980068206787
As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work|issue|update|0.21042998135089874
As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.|manage|create|0.4794648289680481
