Action 1 | Action 2 | Result | Score 
make sure|have|False|0.6219530701637268
record|properly record|False|0.6396710872650146
clarify|access|False|0.4280996322631836
read|make sure|False|0.4654557704925537
check|store|False|0.24602295458316803
want|document|False|0.5807493925094604
want|access|False|0.45959532260894775
clarify|be inform|False|0.5634901523590088
check|see|False|0.498994380235672
get|know|False|0.3216543197631836
link|properly record|False|0.6546712517738342
know in advance|access|False|0.449586421251297
store|ensure|False|0.252049058675766
have|make sure|False|0.489788293838501
know in advance|be inform|False|0.509942352771759
ensure|access|False|0.30178841948509216
ensure|be inform|False|0.5665391683578491
plan|read|False|0.4575071930885315
record|know|False|0.5444774031639099
reuse|get|False|0.26282528042793274
access|make sure|False|0.38900381326675415
be inform|reuse|False|0.3134567439556122
read|ensure|False|0.5350783467292786
link|know|False|0.6140431761741638
clarify|properly record|True|0.8435278534889221
read|record|False|0.2420112043619156
want|properly record|True|0.7238226532936096
reuse|indicate|False|0.6835426688194275
record|link|False|0.40970006585121155
check|read|False|0.26575523614883423
have|ensure|False|0.4870591163635254
ensure|properly record|False|0.6547349691390991
have|record|False|0.484090656042099
clarify|know|True|0.7556586265563965
store|know in advance|False|0.24963900446891785
access|record|False|0.39112579822540283
want|know|False|0.5298295617103577
store|want|False|0.28690364956855774
extract|plan|False|0.587497353553772
reuse|import|False|0.25322532653808594
properly record|link|False|0.40261200070381165
clarify|link|True|0.7997457385063171
access|reuse|False|0.47283172607421875
read|know in advance|False|0.3491886556148529
ensure|know|False|0.4401076138019562
know|make sure|False|0.4757629334926605
extract|document|False|0.5820351839065552
read|want|False|0.41664308309555054
extract|access|False|0.3151933252811432
indicate|have|True|0.8746462464332581
document|receive|False|0.6347951292991638
import|make sure|False|0.3111065924167633
know in advance|link|False|0.5480576753616333
access|extract|False|0.3590584993362427
ensure|link|False|0.2704486548900604
have|know in advance|False|0.47539108991622925
have|want|False|0.4350976049900055
receive|clarify|False|0.6140185594558716
store|need|False|0.39265626668930054
receive|get|False|0.4524458646774292
make sure|get|False|0.35384121537208557
know|ensure|False|0.5490260720252991
know|record|False|0.40600529313087463
document|check|False|0.607201337814331
extract|properly record|False|0.5258204340934753
be inform|plan|False|0.4533007740974426
read|need|False|0.46840277314186096
receive|indicate|False|0.6947462558746338
make sure|indicate|True|0.7757136225700378
import|record|False|0.23300594091415405
be inform|document|False|0.4411933124065399
have|need|False|0.485125869512558
record|receive|False|0.4490053653717041
extract|know|False|0.4697248339653015
receive|import|False|0.3474738597869873
plan|document|False|0.534679114818573
