Action 1 | Action 2 | Result | Score 
clarify|record|True|0.7434868216514587
extract|extract|True|1.0
want|ensure|True|0.8106545209884644
know in advance|ensure|True|0.8044914603233337
have|check|True|0.7737893462181091
import|ensure|True|0.7031792402267456
ensure|get|True|0.7796946167945862
access|extract|True|0.8799105882644653
know|plan|True|0.7730445265769958
indicate|clarify|True|0.8123980760574341
properly record|plan|True|0.5941558480262756
reuse|know|True|0.5959632992744446
document|check|True|0.7390558123588562
store|need|False|0.48836320638656616
have|be inform|True|0.7410279512405396
link|have|True|0.6264611482620239
get|check|True|0.8359636664390564
indicate|reuse|True|0.865759015083313
want|need|True|0.8389986753463745
receive|see|True|0.7806224822998047
know in advance|need|True|0.6306633949279785
document|be inform|True|0.7327396869659424
plan|receive|True|0.871766209602356
have|import|True|0.5949854850769043
need|record|True|0.6941345930099487
import|need|True|0.6356635093688965
check|get|True|0.8594056367874146
read|check|True|0.8289258480072021
have|see|True|0.680355429649353
know|want|True|0.7126568555831909
ensure|know|True|0.6269438862800598
be inform|check|True|0.8321952819824219
properly record|want|True|0.5548202395439148
document|import|True|0.5786424875259399
plan|check|True|0.8303238153457642
properly record|know|False|0.465251088142395
link|make sure|True|0.7111710906028748
get|have|True|0.7958996891975403
document|see|True|0.6294915676116943
have|link|True|0.5774039030075073
read|be inform|True|0.8142021894454956
link|clarify|True|0.7341558337211609
link|store|True|0.5830743908882141
import|know in advance|True|0.7511922717094421
record|plan|True|0.6347501873970032
know in advance|document|True|0.5095970034599304
import|document|True|0.5188296437263489
plan|be inform|True|0.7126610279083252
know|ensure|True|0.7706758379936218
read|import|True|0.7104969620704651
check|know|True|0.7604228854179382
read|see|True|0.8331004977226257
be inform|see|True|0.7623593807220459
get|make sure|True|0.7771050333976746
have|access|True|0.7517881989479065
plan|import|True|0.6708073616027832
need|extract|True|0.8239017724990845
record|want|True|0.531039297580719
document|access|True|0.7061705589294434
import|be inform|True|0.6911225914955139
store|see|True|0.6105716228485107
plan|link|True|0.5996341705322266
indicate|plan|True|0.7983987927436829
know|need|True|0.579907238483429
extract|have|True|0.677788257598877
receive|get|True|0.9273683428764343
want|see|True|0.771905243396759
have|get|True|0.8411887884140015
import|see|True|0.5197404026985168
receive|record|True|0.8369286060333252
reuse|check|True|0.6996219754219055
access|have|True|0.789959192276001
have|record|True|0.7034515142440796
record|ensure|True|0.6512483954429626
know|know in advance|True|0.7971229553222656
plan|access|True|0.7724829912185669
document|get|True|0.7169458270072937
properly record|know in advance|True|0.6685587763786316
know|document|False|0.4773244261741638
indicate|want|True|0.7808088660240173
reuse|be inform|True|0.6753543615341187
extract|make sure|True|0.6585582494735718
indicate|know|True|0.6499572992324829
document|record|True|0.8024581670761108
access|link|True|0.7621039748191833
extract|clarify|True|0.7206206917762756
receive|know|True|0.7292261719703674
ensure|check|True|0.8659160137176514
extract|store|True|0.7076752781867981
link|plan|True|0.7014069557189941
make sure|extract|True|0.7928808331489563
access|make sure|True|0.8162238001823425
have|read|True|0.8006815910339355
read|get|True|0.8547276258468628
see|clarify|True|0.8263386487960815
properly record|check|True|0.7019386887550354
access|clarify|True|0.8259358406066895
reuse|see|True|0.5994163751602173
clarify|have|True|0.6700713634490967
record|need|False|0.47587352991104126
be inform|get|True|0.8337805867195129
extract|reuse|True|0.732823371887207
access|store|True|0.7941539883613586
read|record|True|0.8475726842880249
check|receive|True|0.8945519924163818
document|read|True|0.8360700607299805
be inform|record|True|0.7988806366920471
access|reuse|True|0.8318279981613159
properly record|be inform|True|0.7138946056365967
plan|record|True|0.7475340962409973
have|extract|True|0.791342556476593
check|check|True|1.0
record|know in advance|True|0.6745246648788452
document|extract|True|0.77308589220047
record|document|True|0.6371421217918396
properly record|import|True|0.5591908693313599
properly record|see|False|0.4892747402191162
get|extract|True|0.8405070900917053
know in advance|plan|True|0.8083427548408508
import|get|True|0.7298476696014404
need|have|True|0.7247874736785889
