story|action|classified_action|similarity
As a user, I want to sign up for a new account so that I can access the platform.|sign up|create|0.3364478647708893
As a project manager, I want to establish a new project so that work can begin.|establish|create|1.0
As an administrator, I want to provision a new user profile so that the employee can log in.|provision|delete|0.1949196755886078
As a customer, I want to file a support ticket so that my issue can be tracked.|file|delete|0.3672196865081787
As a user, I want to generate a report so that I can analyze my data.|generate|create|1.0
As a editor, I want to compose a new article so that it can be published.|compose|create|0.5042002201080322
As a developer, I want to instantiate a new service so that the system can scale.|instantiate|create|1.0
As a team leader, I want to form a new group so that members can collaborate.|form|create|1.0
As a user, I want to register a account so that I can use the application.|register|create|1.0
As a customer, I want to place a order so that I can purchase a product.|place|create|0.24612922966480255
As a administrator, I want to issue a new access token so that the integration can authenticate.|issue|update|0.19493375718593597
As a user, I want to add a new address so that I can receive deliveries.|add|create|1.0
As a moderator, I want to originate a new discussion thread so that users can talk about a topic.|originate|create|0.2577967345714569
As a teacher, I want to set up a new course so that students can enroll.|set up|create|0.3784252107143402
As a user, I want to upload a file so that it is stored in the system.|upload|create|1.0
As a developer, I want to spawn a new instance so that the workload is distributed.|spawn|create|0.35559308528900146
As a manager, I want to launch a new campaign so that customers are informed.|launch|create|0.2936474084854126
As a user, I want to submit a form so that my request is recorded.|submit|create|1.0
As a system, I want to produce a daily summary so that users stay informed.|produce|create|1.0
As a administrator, I want to allocate a new workspace so that a team can collaborate.|allocate|create|0.46215400099754333
As a user, I want to book a calendar event so that I remember my appointment.|book|read|0.1784142553806305
As a designer, I want to craft a new template so that others can reuse it.|craft|create|0.2637941837310791
As a developer, I want to initialize a database so that the application can store data.|initialize|create|1.0
As a user, I want to post a message so that others can see it.|post|create|1.0
As a administrator, I want to enroll a new user so that they gain system access.|enroll|create|0.3418258726596832
As a user, I want to record a new expense so that my budget is accurate.|record|create|0.15105286240577698
As a project manager, I want to schedule a new task so that work is assigned.|schedule|read|0.21668078005313873
As a user, I want to curate a playlist so that I can organize my music.|curate|read|0.2797117829322815
