Entity 1 | Entity 2 | Result | Score 
who be responsible|kind of datum I want to store|False|0.7899400591850281
legal statu|agreement|False|0.622671902179718
research publication|compliance|False|0.666428804397583
metadata|intention|False|0.8190140128135681
kind of datum I want to store|security requirement|False|0.5905052423477173
legal statu|time plan|False|0.5515602827072144
all datum|necessary right|False|0.7820161581039429
short description|kind of datum|False|0.7958012819290161
time plan|kind of datum|False|0.78713059425354
pointer|how long|False|0.5406028628349304
when|dmp|True|0.9052078127861023
description|creation proces|False|0.503012478351593
pointer|datum set|False|0.7711071372032166
time plan|format|False|0.7037236094474792
datum|anonymization of datum|False|0.8393253684043884
persistent identifier|short description|False|0.8870906233787537
how secure|compliance|False|0.710395097732544
description|administrative information|False|0.7131955027580261
my datum|datum sensitivity|False|0.8264690041542053
legal statu|report|False|0.5720762610435486
all resource|research publication|False|0.7093815803527832
legal statu|section|False|0.7384722232818604
when|how|False|0.8894829750061035
conservation period|detail|False|0.879989504814148
detail|compliance|False|0.7303990125656128
topic|technology|False|0.644236147403717
cost|metadata|False|0.7799564599990845
when|information|True|0.9031281471252441
metadata|agreement|False|0.7096887826919556
kind of datum I want to store|necessary right|False|0.7121472954750061
estimate|detail|False|0.7764604091644287
topic|repository mention|True|0.9337023496627808
description|kind of datum type|False|0.8916003108024597
how long|creation proces|False|0.5692698359489441
metadata|time plan|False|0.5823896527290344
persistent identifier|who be responsible|True|0.9189996719360352
content|content|True|1.0
all resource|reference|False|0.7895256876945496
cost|kind of datum|False|0.8922068476676941
short description|technology|False|0.48027703166007996
content|kind of datum I want to store|False|0.8979942798614502
all right|cost|False|0.7359867095947266
privacy|intention|False|0.8093299865722656
short description|repository mention|False|0.8137161731719971
time plan|anonymization of datum|False|0.7686299681663513
how|it resource requirement|False|0.7378390431404114
agreement|kind of datum I want to store|False|0.8082566857337952
information|time plan|False|0.733103334903717
time plan|repository mention|False|0.8031017780303955
dmp|report|False|0.7456774711608887
all resource|description|False|0.779263436794281
administrative information|how many|False|0.6146677136421204
pointer|short description|False|0.7050418853759766
repository mention|reference|True|0.9143639802932739
how long|kind of datum type|False|0.8480000495910645
it resource requirement|pointer|False|0.6898044347763062
persistent identifier|compliance|False|0.8522178530693054
report|intention|False|0.7517756819725037
all resource|all datum|False|0.8795861005783081
administrative information|datum set|False|0.8296663761138916
metadata|section|False|0.8221121430397034
compliance|reference|False|0.8362825512886047
creation proces|kind of datum type|False|0.7842949628829956
when|kind of datum|True|0.9100030064582825
who be responsible|information|False|0.8231478929519653
kind of datum I want to record|when|False|0.8065876960754395
when|format|False|0.851569414138794
kind of datum I want to record|estimate|False|0.6496891975402832
pointer|who be responsible|False|0.8013293743133545
cost|technology|False|0.7203871607780457
who|time plan|False|0.5595800280570984
compliance|all datum|False|0.8165984749794006
kind of datum I want to record|creation proces|False|0.46971404552459717
datum sensitivity|time plan|False|0.8037397265434265
kind of datum type|research publication|False|0.7313492298126221
it resource requirement|administrative information|False|0.7238229513168335
description|intention|True|0.9378594756126404
how many|research publication|False|0.6219391822814941
pointer|compliance|False|0.6840294599533081
kind of datum type|reference|False|0.8570648431777954
when|technology|False|0.6321637630462646
when|repository mention|False|0.8910756707191467
privacy|section|False|0.7758266925811768
plan provenance|dmp|True|0.9130024313926697
kind of datum I want to record|kind of datum type|True|0.9400766491889954
who be responsible|format|False|0.7983520030975342
how many|reference|False|0.8751739859580994
how|creation proces|False|0.6172919869422913
legal statu|how many|False|0.5856893658638
kind of datum|who|False|0.8692919015884399
