story|action|classified_action|similarity
As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.|search|read|0.5636221170425415
As a ProspectiveApplicant, I want to research requirements, so that I can find the relevant service and/or application type to initiate via the online portal.|research|read|0.3954188823699951
As a ProspectiveApplicant, I want to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.|select|read|0.5396392941474915
As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance.|request|read|0.4557887315750122
As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.|create|read|0.5429291725158691
As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.|submit|read|0.5284279584884644
As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.|submit|create|0.5212568640708923
As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.|pay|read|0.4517980217933655
As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.|check|read|0.5178472399711609
As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.|modify|update|0.5031338334083557
As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.|perform|read|0.4363420903682709
As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.|record|read|0.3833673298358917
As a Staff member, I want to Assign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.|assign|read|0.5972516536712646
As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved.|apply|read|0.45547592639923096
As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.|remove|delete|0.5310664772987366
As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.|send|read|0.4425940215587616
As a Staff member, I want to Track  the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.|track|read|0.4242033064365387
As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.|manage|create|0.45256251096725464
As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.|manage|read|0.4322358965873718
As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.|schedule|read|0.3722394108772278
As a staff member, I want to denote an application with a Final Action status. So that I can finish it.|denote|read|0.49541476368904114
As a Planning Staff member, I want to Conduct Plan Amendments, so that I can record work in process, outcome, and location-based information related to the Plan(s).|conduct|create|0.37226077914237976
As a Planning Staff member, I want to track Plan Amendments, so that I can record work in process, outcome, and location-based information related to the Plan(s).|track|read|0.37142032384872437
As a Planning Staff member, I want to Conduct Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).|conduct|create|0.35247665643692017
As a Planning Staff member, I want to Track Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).|track|read|0.34851202368736267
As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.|generate|create|0.5114936828613281
As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.|evaluate|update|0.502499520778656
As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.|perform|read|0.3901214003562927
As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.|process|read|0.397493451833725
As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.|issue|read|0.3885064721107483
As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.|develop|create|0.4221721887588501
As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates.|manage|read|0.4476057291030884
As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.|assign|read|0.5057834386825562
As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.|manage|read|0.4322358965873718
As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.|satisfy|read|0.4623144865036011
As a Staff member, I want to Prepare for Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.|prepare|read|0.4329778850078583
As a Staff member, I want to Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.|prepare|read|0.3782753348350525
As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.|capture|read|0.4657890498638153
As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.|process|read|0.41608938574790955
