story|action|classified_action|similarity
As a PI, I want to properly record all metadata, so that I can ensure proper running of the project in case of staff changes.|properly record|read|0.4122721552848816
As a researcher, I want to indicate where my data will be stored during the project and where after the project, so that it remains accessible during all stages of the data lifecycle.|indicate|read|0.5327791571617126
As a researcher, I want to import metadata that I captured with a metadata tool, so that I do not have to capture it again in a DMP.|import|read|0.43145501613616943
As a data manager, I want to know how the data is used, so that I can develop more detailed usage and support scenarios with researchers.|know|read|0.49560970067977905
As a repository owner, I want to be able to check the planned provenance of the data that will be submitted at the end of a project, so that I can calculate necessary submission fees and check whether it belongs to our target group.|check|read|0.6015689969062805
As an IT manager, I want to know about IT resource requirements early in the project lifecycle, so that I can enable resource acquisition planning.|know|read|0.47425878047943115
As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.|plan|read|0.4462187588214874
As an IT staff member, I want to know the security requirements of the data, so that I know which kind of security measures to apply.|know|read|0.4985094964504242
As a data manager, I want to have the description of collected data sets that are used or updated throughout the project lifecycle, so that I can ensure the descriptions are current and add detail as the study proceeds.|have|read|0.5305274128913879
As a researcher, I want to know which topics are mandatory and similar in all DMPs, so that I can save time through quickly writing it.|know|read|0.47249892354011536
As a data manager, I want to know what the content of the data is, so that I can decide to which collection or repository the data fits.|know|read|0.5326626896858215
As a PI, I want to record information about my DMP, so that an Ethics Committee can review this for compliance with ethical standards.|record|read|0.4708094000816345
As a legalofficer, I want to know about data sensitivity, so that I can establish sharing options.|know|read|0.49534136056900024
As a data librarian, I want to extract pointers from the DMP to metadata held in other systems, so that I can import this metadata into a data catalogue.|extract|read|0.5574944615364075
As an IT staff member, I want to have an estimate of the produced data volume, so that I can plan the overall storage consumption.|have|read|0.5154203772544861
As an administrator, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.|know|read|0.4678608179092407
As an archivemanager, I want to know the legal status of data, so that I can apply the legal requirements accordingly.|know|read|0.46777135133743286
As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.|know|read|0.5319710373878479
As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.|know|read|0.5338062644004822
As an archivemanager, I want to know in advance the conservation period of data, so that I can better organize the service by adapting the preservation actions.|know in advance|read|0.4705924391746521
As a data manager, I want to document all rights necessary for managing the data, so that I can curate and preserve the data.|document|read|0.4749104678630829
As a data manager, I want to know what the content of the data is, so that I can check whether the necessary expertise for maintaining intellectual reusability is available.|know|read|0.5326626896858215
As a research head, I want to access to the persistent identifiers of datasets provided in the DMP, so that I can check that the DMP has been implemented.|access|read|0.5841308832168579
As a funder, I want to be able to read the costs for data management from the DMP, so that I can check whether our policies work as intended.|read|read|0.561703085899353
As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information.|want|read|0.4060227870941162
As a stakeholder, I want to know when the data management plan was created or updated, so that I know how up-to-date the plan is or whether it needs to be updated.|know|read|0.49415552616119385
As a stakeholder, I want to know who is responsible for the DMP, so that I can ask them about further details.|know|read|0.4261306822299957
As a stakeholder, I want to have references to the project proposal, so that I can look up further general information.|have|read|0.470514714717865
As a metadata manager, I want to have a short description of project, so that I can be informed about the metadata description.|have|read|0.5094506740570068
As a rector, I want to know how many data will be stored, so that I can plan long term resources.|know|read|0.5082440376281738
As a data manager, I want to know the time plan for collecting data, so that I can plan the data management.|know|read|0.546288013458252
As a data librarian, I want to import administrative information regarding a project into DMP, so that I can prepopulate the DMP.|import|read|0.5193290114402771
As a manager, I want to know about all resources for the data, so that I can estimate the true cost of the project.|know|read|0.4795025885105133
As a manager, I want to know about all services used for the data, so that I can estimate the true cost of the project.|know|read|0.5034661889076233
As an archivemanager, I want to reuse the information regarding file format, so that I can apply automated checks for the file validation.|reuse|read|0.5946269631385803
As a researcher, I want to know how many resources are needed during the project, so that I can calculate costs.|know|read|0.45918071269989014
As a researcher, I want to extract the description of the data collected, so that I can reuse it for the writing of a data paper.|extract|read|0.5724959373474121
As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.|record|read|0.4461376667022705
As a researcher, I want to link research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.|link|read|0.4982675015926361
As a researcher, I want to store agreements relating to third party data used in a project, so that the data can be cited, attributed and used correctly.|store|read|0.4447817802429199
As an ethics manager, I want to be informed about the data, so that I can check for sensitivity of data.|be informed|read|0.46848392486572266
As a repository operator, I want to know about the kind of data, so that I can evaluate the storage size and system.|know|read|0.5090335011482239
As a researcher, I want to know about costs, so that I can plan my research.|know|read|0.44271883368492126
As a repository manager, I need details on the type of data, so that I can check if the archiving can be arranged.|need|read|0.5497846603393555
As an IT officer, I want to know how secure data is, so that I can ensure legal compliance.|know|read|0.5425184965133667
As a funder, I want to know how secure data is, so that I can ensure legal compliance.|know|read|0.541394054889679
As a Research Centre Director, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students.|receive|read|0.5108926892280579
As a Postgraduate Convenor, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students.|receive|read|0.5219613313674927
